"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_THAI","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_THAI","correct_Target_response","correct_Target_response_Prac","correct_Welcom_THAI","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Instruction_DE","count_Instruction_E","count_Instruction_HUN","count_Instruction_NOR","count_Instruction_PL","count_Instruction_SC","count_Instruction_TC","count_Instruction_THAI","count_LAB_SEED","count_Language_Selection","count_List_Select_DE","count_List_Select_E","count_List_Select_HUN","count_List_Select_NOR","count_List_Select_PL","count_List_Select_SC","count_List_Select_TC","count_List_Select_THAI","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_SC","count_Start_TC","count_Start_THAI","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcom_SC","count_Welcom_TC","count_Welcom_THAI","count_Welcome_DE","count_Welcome_E","count_Welcome_HUN","count_Welcome_NOR","count_Welcome_PL","count_presetup","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","pol","rectarget","repeat_cycle","reset_loop","response","response_Instruction_DE","response_Instruction_E","response_Instruction_HUN","response_Instruction_NOR","response_Instruction_PL","response_Instruction_SC","response_Instruction_TC","response_Instruction_THAI","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_SC","response_Start_TC","response_Start_THAI","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcom_SC","response_Welcom_TC","response_Welcom_THAI","response_Welcome_DE","response_Welcome_E","response_Welcome_HUN","response_Welcome_NOR","response_Welcome_PL","response_time","response_time_Instruction_DE","response_time_Instruction_E","response_time_Instruction_HUN","response_time_Instruction_NOR","response_time_Instruction_PL","response_time_Instruction_SC","response_time_Instruction_TC","response_time_Instruction_THAI","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcom_SC","response_time_Welcom_TC","response_time_Welcom_THAI","response_time_Welcome_DE","response_time_Welcome_E","response_time_Welcome_HUN","response_time_Welcome_NOR","response_time_Welcome_PL","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Instruction_DE","time_Instruction_E","time_Instruction_HUN","time_Instruction_NOR","time_Instruction_PL","time_Instruction_SC","time_Instruction_TC","time_Instruction_THAI","time_LAB_SEED","time_Language_Selection","time_List_Select_DE","time_List_Select_E","time_List_Select_HUN","time_List_Select_NOR","time_List_Select_PL","time_List_Select_SC","time_List_Select_TC","time_List_Select_THAI","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_SC","time_Start_TC","time_Start_THAI","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcom_SC","time_Welcom_TC","time_Welcom_THAI","time_Welcome_DE","time_Welcome_E","time_Welcome_HUN","time_Welcome_NOR","time_Welcome_PL","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"7236","Thai_List02.csv","Y","V","Thai_Prac2.csv","จิมเตรียมที่จะใช้ไขควงเสียบที่ด้านบนของตู้","screwV.jpg","V","38.4615384615","38.4615384615","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1664.88461538","1664.88461538","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","j","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","11","2","11","2","2","0","0","0","11","11","NA","0","NA","NA","NA","NA","0","0","11","0","0","0","0","0","0","0","0","0","11","0","11","0","11","0","11","0","11","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","0","3","5","0","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","f","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","1301","NA","NA","NA","NA","NA","NA","NA","31958","1620","2624","NA","NA","NA","NA","NA","NA","NA","NA","10577","1301","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","125591","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","126596","126596","111649","111649","NA","126597","NA","NA","NA","NA","NA","129223","113271","NA","NA","NA","NA","NA","NA","NA","114868","129728","113776","129728","113776","NA","114303","NA","56948","131031","85872","131531","NA","NA","125459","49123","114866","125589","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","10","43287","26","yes","1024"
"7236","Thai_List02.csv","F","F","Thai_Prac2.csv","เบิร์ดขับรถบรรทุกจากท่าเรือไปในเมือง","piano.jpg","V","39.2857142857","39.2857142857","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1676.53571429","1676.53571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","NA","0","11","2","11","2","2","0","1","1","11","11","NA","1","NA","NA","NA","NA","0","1","11","0","0","0","0","0","0","0","0","1","11","1","11","1","11","1","11","1","11","1","NA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","1","3","5","1","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","f","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","797","NA","NA","NA","NA","NA","NA","NA","31958","1620","2859","NA","NA","NA","NA","NA","NA","NA","NA","10577","797","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","131796","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","132801","132801","111649","111649","NA","132802","NA","NA","NA","NA","NA","135663","113271","NA","NA","NA","NA","NA","NA","NA","114868","136168","113776","136168","113776","136967","114303","NA","56948","131031","85872","137467","NA","NA","125459","49123","114866","131794","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","11","46943","28","yes","1024"
"7236","Thai_List02.csv","F","F","Thai_Prac2.csv","แฮร์รี่ให้แหวนอันสวยงามแก่แฟนของเขา หวังว่าเธอจะตอบตกลง","house.jpg","V","40","40","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1715.06666667","1715.06666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","f","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","NA","0","11","2","11","2","2","0","2","2","11","11","NA","2","NA","NA","NA","NA","0","2","11","0","0","0","0","0","0","0","0","2","11","2","11","2","11","2","11","2","11","2","NA","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","2","3","5","2","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","f","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","f","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","1476","NA","NA","NA","NA","NA","NA","NA","31958","1620","3033","NA","NA","NA","NA","NA","NA","NA","NA","10577","1476","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","137645","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","138651","138651","111649","111649","NA","138652","NA","NA","NA","NA","NA","141688","113271","NA","NA","NA","NA","NA","NA","NA","114868","142193","113776","142193","113776","143671","114303","NA","56948","131031","85872","144171","NA","NA","125459","49123","114866","137644","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","12","51452","30","yes","1024"
"7236","Thai_List02.csv","N","H","Thai_Prac2.csv","ดิเรกแกว่งไม้ขณะที่ลูกบอลกำลังเข้ามา","batV.jpg","V","40.625","40.625","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1711","1711","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","NA","0","11","2","11","2","2","0","3","3","11","11","NA","3","NA","NA","NA","NA","0","3","11","0","0","0","0","0","0","0","0","3","11","3","11","3","11","3","11","3","11","3","NA","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","3","3","5","3","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","837","NA","NA","NA","NA","NA","NA","NA","31958","1620","2463","NA","NA","NA","NA","NA","NA","NA","NA","10577","837","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","144360","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","145365","145365","111649","111649","NA","145366","NA","NA","NA","NA","NA","147831","113271","NA","NA","NA","NA","NA","NA","NA","114868","148336","113776","148336","113776","149175","114303","NA","56948","131031","85872","149675","NA","NA","125459","49123","114866","144358","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","13","54752","32","yes","1024"
"7236","Thai_List02.csv","N","V","Thai_Prac2.csv","มิกตั้งกีตาร์ขึ้นบนที่วางขณะที่เขาเตรียมตัวสำหรับคอนเสิร์ต","guitarH.jpg","V","41.1764705882","41.1764705882","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1716.58823529","1716.58823529","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","NA","0","11","2","11","2","2","0","4","4","11","11","NA","4","NA","NA","NA","NA","0","4","11","0","0","0","0","0","0","0","0","4","11","4","11","4","11","4","11","4","11","4","NA","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","4","3","5","4","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","892","NA","NA","NA","NA","NA","NA","NA","31958","1620","2720","NA","NA","NA","NA","NA","NA","NA","NA","10577","892","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","149887","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","150892","150892","111649","111649","NA","150893","NA","NA","NA","NA","NA","153616","113271","NA","NA","NA","NA","NA","NA","NA","114868","154121","113776","154121","113776","155015","114303","NA","56948","131031","85872","155516","NA","NA","125459","49123","114866","149885","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","14","58364","34","yes","1024"
"7236","Thai_List02.csv","Y","H","Thai_Prac2.csv","หนอนผีเสื้อคืบคลานไปตามกิ่งไม้","caterpillarH.jpg","V","41.6666666667","41.6666666667","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1690.33333333","1690.33333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","5","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","NA","0","11","2","11","2","2","0","5","5","11","11","NA","5","NA","NA","NA","NA","0","5","11","0","0","0","0","0","0","0","0","5","11","5","11","5","11","5","11","5","11","5","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","5","3","5","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","NA","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","NA","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","925","NA","NA","NA","NA","NA","NA","NA","31958","1620","1563","NA","NA","NA","NA","NA","NA","NA","NA","10577","925","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","155732","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","NA","NA","49123","114804","86420","110641","86420","86420","49123","156737","156737","111649","111649","NA","156738","NA","NA","NA","NA","NA","158303","113271","NA","NA","NA","NA","NA","NA","NA","114868","158808","113776","158808","113776","159735","114303","NA","56948","131031","85872","160235","NA","NA","125459","49123","114866","155730","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","15","60852","36","yes","1024"
"7236","Thai_List02.csv","Y","H","Thai_Prac2.csv","หนอนผีเสื้อคืบคลานไปตามกิ่งไม้","caterpillarH.jpg","M","40.5405405405","40.5405405405","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1916.05405405","1916.05405405","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","5","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","11","2","11","2","2","0","5","5","11","11","0","5","0","0","0","0","0","5","11","0","0","0","0","0","0","0","0","5","11","5","11","5","11","5","11","5","11","6","NA","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","0","3","5","5","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","เบิร์ดขับรถบรรทุกจากท่าเรือไปในเมือง","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","j","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","10042","NA","NA","NA","NA","NA","NA","NA","31958","1620","1563","10042","NA","NA","NA","NA","NA","NA","NA","10577","925","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","155732","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","160274","160369","49123","114804","86420","110641","86420","86420","49123","156737","156737","111649","111649","160369","156738","160371","NA","160371","170415","NA","158303","113271","NA","NA","NA","NA","NA","NA","NA","114868","158808","113776","158808","113776","159735","114303","NA","56948","131031","85872","171915","NA","NA","125459","49123","114866","155730","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","15","70894","37","yes","1024"
"7236","Thai_List02.csv","F","F","Thai_Prac2.csv","วัวป่าวิ่งเข้าหาพวกเขาในอุทยาน","ring.jpg","V","41.0256410256","41.0256410256","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1905.30769231","1905.30769231","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","f","0","0","0","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","11","2","11","2","2","0","6","6","11","11","0","6","0","0","0","0","0","6","11","0","0","0","0","0","0","0","0","6","11","6","11","6","11","6","11","6","11","7","NA","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","6","3","5","6","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","เบิร์ดขับรถบรรทุกจากท่าเรือไปในเมือง","0","0","f","NA","NA","NA","NA","NA","NA","NA","space","space","space","j","NA","NA","NA","NA","NA","NA","NA","space","f","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","820","NA","NA","NA","NA","NA","NA","NA","31958","1620","2593","10042","NA","NA","NA","NA","NA","NA","NA","10577","820","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","172142","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","160274","160369","49123","114804","86420","110641","86420","86420","49123","173147","173147","111649","111649","160369","173148","160371","NA","160371","170415","NA","175744","113271","NA","NA","NA","NA","NA","NA","NA","114868","176249","113776","176249","113776","177071","114303","NA","56948","131031","85872","177572","NA","NA","125459","49123","114866","172140","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","16","74307","39","yes","1024"
"7236","Thai_List02.csv","Y","V","Thai_Prac2.csv","สามีวัยหนุ่มเตรียมที่จะใส่ยางรถยนต์สำรองที่ล้อรถ","tireV.jpg","V","41.4634146341","41.4634146341","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1888.90243902","1888.90243902","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","7","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","11","2","11","2","2","0","7","7","11","11","0","7","0","0","0","0","0","7","11","0","0","0","0","0","0","0","0","7","11","7","11","7","11","7","11","7","11","8","NA","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","7","3","5","7","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","เบิร์ดขับรถบรรทุกจากท่าเรือไปในเมือง","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","j","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","581","NA","NA","NA","NA","NA","NA","NA","31958","1620","2557","10042","NA","NA","NA","NA","NA","NA","NA","10577","581","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","177786","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","160274","160369","49123","114804","86420","110641","86420","86420","49123","178791","178791","111649","111649","160369","178791","160371","NA","160371","170415","NA","181351","113271","NA","NA","NA","NA","NA","NA","NA","114868","181856","113776","181856","113776","182440","114303","NA","56948","131031","85872","182940","NA","NA","125459","49123","114866","177784","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","17","77445","41","yes","1024"
"7236","Thai_List02.csv","Y","V","Thai_Prac2.csv","ซาร่าวางจานที่มีราคาแพงบนที่ตั้งจานบนชั้น","plateV.jpg","V","41.8604651163","41.8604651163","[5, 11, 13, 19, 22, 26, 30, 33, 38, 41, 47]","1872.53488372","1872.53488372","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","undefined","1","1","undefined","6","j","0","0","0","8","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","11","2","11","2","2","0","8","8","11","11","0","8","0","0","0","0","0","8","11","0","0","0","0","0","0","0","0","8","11","8","11","8","11","8","11","8","11","9","NA","8","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","11/29/19 12:14:25","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_SP_1.2.4.osexp","C:\Users\Lenovo_502\Desktop\PSA002","no","chinese-japanese-korean","no","18","no","#0000ff","no","อักษรไทย","yes","768","no","legacy","8","3","5","8","C:/Users/Lenovo_502/Desktop/PSA002/data/THA_001_SP_41","legacy","no","Kafkaesque Koffka","3.2.8","no","เบิร์ดขับรถบรรทุกจากท่าเรือไปในเมือง","0","0","j","NA","NA","NA","NA","NA","NA","NA","space","space","space","j","NA","NA","NA","NA","NA","NA","NA","space","j","f","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","501","NA","NA","NA","NA","NA","NA","NA","31958","1620","2573","10042","NA","NA","NA","NA","NA","NA","NA","10577","501","525","NA","NA","NA","NA","7075","NA","NA","NA","NA","NA","2","legacy","no","1024","2","48000","-16","EXP","41","odd","No","no","yes","NA","10072","4116","183161","110643","NA","NA","NA","NA","NA","NA","NA","17151","4116","9158","NA","NA","NA","NA","NA","NA","NA","10056","10056","160274","160369","49123","114804","86420","110641","86420","86420","49123","184166","184166","111649","111649","160369","184167","160371","NA","160371","170415","NA","186743","113271","NA","NA","NA","NA","NA","NA","NA","114868","187248","113776","187248","113776","187752","114303","NA","56948","131031","85872","188252","NA","NA","125459","49123","114866","183159","10072","125459","NA","NA","10074","NA","NA","NA","NA","NA","125459","Orientation_PSA2018","18","80519","43","yes","1024"
